ONVMT Truck ,OFFVMT Truck
0.903451165,0.096548835
0.918148585,0.081851415
0.89409792,0.10590208
0.91095988,0.08904012
0.943884117,0.056115883
0.945806836,0.054193164
0.99591817,0.00408183
0.991474138,0.008525862
0.992795071,0.007204929
0.993995529,0.006004471
0.944547345,0.055452655
0.939539305,0.060460695
0.975639176,0.024360824
0.916077628,0.083922372
0.947850022,0.052149978
0.890931668,0.109068332
0.983336984,0.016663016
0.855975401,0.144024599
0.996661958,0.003338042
0.935106089,0.064893911
0.992274397,0.007725603
0.988200023,0.011799977
0.983819504,0.016180496
0.740065385,0.259934615
0.920357336,0.079642664
0.860948976,0.139051024
0.958457788,0.041542212
0.812959055,0.187040945
0.997582017,0.002417983
0.884422369,0.115577631
0.983006631,0.016993369
0.944550023,0.055449977
0.954506595,0.045493405
0.817723274,0.182276726
0.997937212,0.002062788
0.766416674,0.233583326
0.981997162,0.018002838
0.888979131,0.111020869
0.99802523,0.00197477
0.990094455,0.009905545
0.897519662,0.102480338
0.987961077,0.012038923
0.955737828,0.044262172
0.844861331,0.155138669
0.981552486,0.018447514
0.962066215,0.037933785
0.830191619,0.169808381
0.904861706,0.095138294
0.981234501,0.018765499
0.740996748,0.259003252
