State,ABBREV,FIPS,YEAR,aviation.tgd.s,hours
South Carolina,SC,45,2014,5.80,183283.00
South Dakota,SD,46,2014,2.80,130226.00
Tennessee,TN,47,2014,7.00,372224.00
Texas,TX,48,2014,51.00,2001797.00
Utah,UT,49,2014,7.10,424682.00
Vermont,VT,50,2014,0.80,39624.00
Virginia,VA,51,2014,6.40,483889.00
Washington,WA,53,2014,9.70,480368.00
West Virginia,WV,54,2014,1.20,72766.00
Wisconsin,WI,55,2014,6.70,386953.00
Wyoming,WY,56,2014,2.30,98730.00
